[2024-12-20 07:42:05] info: 	z2m: Logging to console, file (filename: log.log)
[2024-12-20 07:42:05] info: 	z2m: Starting Zigbee2MQTT version 1.42.0 (commit #unknown)
[2024-12-20 07:42:05] info: 	z2m: Starting zigbee-herdsman (2.1.9)
[2024-12-20 07:42:06] warning: 	zh:ezsp: 'ezsp' driver is deprecated and will only remain to provide support for older firmware (pre 7.4.x). Migration to 'ember' is recommended. If using Zigbee2MQTT see https://github.com/Koenkk/zigbee2mqtt/discussions/21462
[2024-12-20 07:42:06] error: 	zh:ezsp:uart: Error while parsing to NpiFrame 'Error: <-- CRC error: 8deece6708707e|0870|f254'
[2024-12-20 07:42:10] info: 	z2m: zigbee-herdsman started (resumed)
[2024-12-20 07:42:10] info: 	z2m: Coordinator firmware version: '{"meta":{"maintrel":"1 ","majorrel":"7","minorrel":"1","product":9,"revision":"7.1.1.0 build 273"},"type":"EZSP v9"}'
[2024-12-20 07:42:10] info: 	z2m: Kontor_Sensor_Vindue (0x84ba20fffeca7c33): CCT591011_AS - Schneider Electric Wiser window/door sensor (EndDevice)
[2024-12-20 07:42:10] info: 	z2m: Stue_Repeater_ved_stor_dør (0x842e14fffe757602): E1603/E1702/E1708 - IKEA TRADFRI control outlet (Router)
[2024-12-20 07:42:10] info: 	z2m: Legestue_Repeater_legestue (0x588e81fffeafee9e): E1603/E1702/E1708 - IKEA TRADFRI control outlet (Router)
[2024-12-20 07:42:10] info: 	z2m: Victoria_Light_over_skrivebord (0x6c5cb1fffe609906): LED2003G10 - IKEA TRADFRI bulb E26/27, white spectrum, globe, opal, 1055/1100/1160 lm (Router)
[2024-12-20 07:42:10] info: 	z2m: Victoria_Light_over_seng (0x6c5cb1fffe5223d6): LED2003G10 - IKEA TRADFRI bulb E26/27, white spectrum, globe, opal, 1055/1100/1160 lm (Router)
[2024-12-20 07:42:10] info: 	z2m: Victoria_remote_over_skrivebord (0xa49e69fffe203a70): E2001/E2002 - IKEA STYRBAR remote control (EndDevice)
[2024-12-20 07:42:10] info: 	z2m: Victoria_remote_over_seng (0x3425b4fffe9a6087): E2001/E2002 - IKEA STYRBAR remote control (EndDevice)
[2024-12-20 07:42:10] info: 	z2m: Sophie_Repeater_sophie (0x842e14fffe63a757): E1603/E1702/E1708 - IKEA TRADFRI control outlet (Router)
[2024-12-20 07:42:10] info: 	z2m: Victoria_Repeater_victoria (0x842e14fffe6c9453): E1603/E1702/E1708 - IKEA TRADFRI control outlet (Router)
[2024-12-20 07:42:10] info: 	z2m: Stue_Repeater_lille_gardin (0x84fd27fffe60e528): E1746 - IKEA TRADFRI signal repeater (Router)
[2024-12-20 07:42:10] info: 	z2m: Køkken_repeater_køkken (0x842e14fffe6c9aa0): E1603/E1702/E1708 - IKEA TRADFRI control outlet (Router)
[2024-12-20 07:42:10] info: 	z2m: Kontor_repeater_kontor (0x5c0272fffe8b7ba4): E1603/E1702/E1708 - IKEA TRADFRI control outlet (Router)
[2024-12-20 07:42:10] info: 	z2m: Lillegang_repeater_lillegang (0x842e14fffe6cb841): E1603/E1702/E1708 - IKEA TRADFRI control outlet (Router)
[2024-12-20 07:42:10] info: 	z2m: Soveværelse_Sensor_Vindue (0x84ba20fffec7da2e): CCT591011_AS - Schneider Electric Wiser window/door sensor (EndDevice)
[2024-12-20 07:42:10] info: 	z2m: Currently 14 devices are joined.
[2024-12-20 07:42:10] info: 	z2m: Zigbee: disabling joining new devices.
[2024-12-20 07:42:11] info: 	z2m: Connecting to MQTT server at mqtt://core-mosquitto:1883
